TXNID,STARTTIME,ENDTIME,,,,STARTTIME,ENDTIME,SERVICE_NAME,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SNAPDEAL,POST,NONRSA,,,,,,,,,,,
LGF,23-07-20 03:56:44:676,23-07-20 03:56:44:838,,#VALUE!,,,,,,,,,SvbC-6wVDkYArgAyNTkAAABn
,,,,,,,,,,,,,SvbC-6wVDkYArgAyNTkAAABn
FTESF01,23-07-20 03:56:43:801,23-07-20 03:56:44:480,,,,23-07-20 03:56:44:510,23-07-20 03:56:44:545,SMSService,,,,,SvbC-6wVDkYArgAyNTkAAABn
,,,,,,23-07-20 03:56:43:928,23-07-20 03:56:44:369,FundTransferTransactionApplicationServiceSpi,,,,,SpgEf6wVDkYArgAyNTYAAABt
,,,,,,23-07-20 03:56:44:595,23-07-20 03:56:44:634,SMSService,,,,,Sj9UsqwVDkYArgAyNQ0AAAB0
,,,,,,,,,,,,,Sj9UsqwVDkYArgAyNQ0AAAB0
FCMD01,23-07-20 03:56:37:610,23-07-20 03:56:39:355,,,,23-07-20 03:56:37:718,23-07-20 03:56:39:290,FetchCustomerAndMerchantDetailsApplicationServiceSpiService,,,,,Sj9UsqwVDkYArgAyNQ0AAAB0
,,,,,,,,,,,,,SizQg6wVDkYArgAyNQEAAAB0
LGNXT,23-07-20 03:56:31:758,23-07-20 03:56:32:641,,,,23-07-20 03:56:31:879,23-07-20 03:56:32:069,GetUserReportApplicationServiceSpi,,,,,SizQg6wVDkYArgAyNQEAAAB0
,,,,,,23-07-20 03:56:32:093,23-07-20 03:56:32:270,ValidatePINApplicationServiceSpiService,,,,,SemIuKwVDkYArgAyNMcAAABy
,,,,,,23-07-20 03:56:32:313,23-07-20 03:56:32:529,PartyApplicationServiceSpi,,,,,
VLC01,23-07-20 03:56:30:543,23-07-20 03:56:31:688,,,,23-07-20 03:56:30:759,23-07-20 03:56:31:601,AdaptiveAuthenticationService,,,,,
,,,,,,23-07-20 03:56:31:617,23-07-20 03:56:31:656,SiteToUser,,,,,
EPIPL01,23-07-20 03:56:26:149,23-07-20 03:56:27:926,,,,23-07-20 03:56:27:472,23-07-20 03:56:27:867,MerchantDetailsApplicationServiceSpiService,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
APONLINE,POST,RSA,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LGF,23-07-20 04:08:44:575,23-07-20 04:08:44:750,,,,,,,,,,,
XTXFT06,23-07-20 04:08:41:350,23-07-20 04:08:44:311,,,,23-07-20 04:08:44:417,23-07-20 04:08:44:549,SMSService,,,,,dbvi1qwVDkYArgAyOLgAAABs
,,,,,,23-07-20 04:08:44:350,23-07-20 04:08:44:395,SMSService,,,,,dbvi1qwVDkYArgAyOLgAAABs
,,,,,,23-07-20 04:08:43:730,23-07-20 04:08:44:297,AdaptiveAuthenticationService,,,,,dbvi1qwVDkYArgAyOLgAAABs
,,,,,,23-07-20 04:08:42:249,23-07-20 04:08:43:685,FundTransferTransactionApplicationServiceSpi,,,,,dbvi1qwVDkYArgAyOLgAAABs
